"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2577","Вводиться неверный пароль и появляется предупреждение Вводиться неверный пароль ""30"" и появляется предупреждение ""Неверный логин или пароль.""","","2026-05-30","broken","2026-05-30","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldNotCorrectPassword"
"","30142","Вводиться неверный пароль и появляется предупреждение Вводиться неверный пароль ""********"" и появляется предупреждение ""Неверный логин или пароль.""","","2026-05-30","broken","2026-05-30","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldNotCorrectPassword"
"","5637","missFillingFields()","","2026-05-30","failed","2026-05-30","","Класс Тестов на регистрацию нового пользователя","tests.TextBoxtestsWithPO","missFillingFields"
"","2022","uploadFileTest()","","2026-05-30","passed","2026-05-30","","quru.qa.SelenideFilesTest","quru.qa.SelenideFilesTest","uploadFileTest"
"","36","jsonFileParsingImproovedTest()","","2026-05-30","passed","2026-05-30","","quru.qa.FileParsingTest","quru.qa.FileParsingTest","jsonFileParsingImproovedTest"
"","4","thirdTest()","","2026-05-30","passed","2026-05-30","","tests.SimpleJunitTest","tests.SimpleJunitTest","thirdTest"
"","1","firstTest()","","2026-05-30","passed","2026-05-30","","tests.SimpleJunitTest","tests.SimpleJunitTest","firstTest"
"","0","fillNotRequiredFields()","","2026-05-30","skipped","2026-05-30","","Класс Тестов на регистрацию нового пользователя","tests.TextBoxtestsWithPO","fillNotRequiredFields"
"","6","jsonFileParsingTest()","","2026-05-30","passed","2026-05-30","","quru.qa.FileParsingTest","quru.qa.FileParsingTest","jsonFileParsingTest"
"","47","zipFileParsingTest()","","2026-05-30","broken","2026-05-30","","quru.qa.FileParsingTest","quru.qa.FileParsingTest","zipFileParsingTest"
"","306","priceEurAndRub(Language) [2] EN","","2026-05-30","passed","2026-05-30","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","priceEurAndRub"
